35.84,26.74
30.76,18.23
38.41,16.61
21.39,16.69
21.38,14.34
24.08,20.03
36.52,18.80
19.02,16.36
20.12,19.97
26.11,21.68
17.07,18.78
38.70,19.30
27.78,32.21
21.20,21.01
15.82,18.53
23.49,16.46
22.11,17.10
13.94,14.04
32.65,17.92
14.93,10.10
32.29,20.03
20.25,24.61
25.52,22.35
31.86,17.37
22.12,12.13
14.91,25.71
15.43,19.90
17.06,25.42
30.07,30.79
11.20,15.44
10.98,14.08
30.19,17.86
13.56,10.32
28.53,27.21
33.82,11.08
10.82,13.79
12.37,13.47
33.79,21.21
31.95,29.01
22.17,34.63
33.33,20.13
20.63,16.50
14.42,18.66
18.30,17.44
17.72,18.54
15.80,16.95
19.71,20.64
17.28,22.39
33.81,25.20
33.13,21.56
38.17,19.78
14.67,15.01
17.99,29.35
35.64,20.55
19.35,15.84
7.48,12.04
15.91,19.49
31.64,18.75
30.18,18.72
27.90,17.49
30.38,19.39
13.76,13.52
